ID,Name,Keywords,CodeString,MasterID,SpearmanCorrelation,CorrectedPvalue
7010,MF_CompareTestSets_y_ss_best_uniform_25_01_1_stdrats_std,"model,prediction,stationarity",MF_CompareTestSets_y_ss_best_uniform_25_01_1.stdrats_std,1019,-0.0335922967501915,1
1568,CO_Embed2_Basic_tau_parabdown05_1,"correlation",CO_Embed2_Basic_tau.parabdown05_1,743,-0.033373454426086,1
3467,EX_MovingThreshold_1_01_maxq,"outliers",EX_MovingThreshold_1_01.maxq,873,-0.033373454426086,1
842,SY_LocalGlobal_AC1_l10,"stationarity",SY_LocalGlobal_l10.ac1,495,-0.0331546121019805,1
5985,PP_Compare_medianf4_statav4,"preprocessing,raw,stationarity",PP_Compare_medianf4.statav4,968,-0.0331546121019805,1
7075,MF_StateSpace_n4sid_2_05_1_A_3,"model",MF_StateSpace_n4sid_2_05_1.A_3,1023,0.0331546121019805,1
368,IN_AutoMutualInfoStats_40_kraskov1_4_pmodeperiodmax,"information,correlation,AMI",IN_AutoMutualInfoStats_40_kraskov1_4.pmodeperiodmax,714,-0.032935769777875,1
3427,ST_LocalExtrema_n100_meanext,"distribution,stationarity",ST_LocalExtrema_n100.meanext,870,-0.032935769777875,1
651,SY_SlidingWindow_mom3_s2_10,"stationarity",SY_SlidingWindow_mom3_s2_10,378,0.0327169274537696,1
3250,DN_OutlierInclude_abs_001_nfla,"distribution,outliers",DN_OutlierInclude_abs_001.nfla,863,0.0327169274537696,1
100,AC_8,"correlation",AC_8,99,-0.0324980851296641,1
2444,FC_Surprise_T2_50_3_udq_500_std,"information,symbolic",FC_Surprise_T2_50_3_udq_500.std,798,-0.0324980851296641,1
3376,ST_LocalExtrema_n25_meanrat,"distribution,stationarity",ST_LocalExtrema_n25.meanrat,868,-0.0324980851296641,1
3383,ST_LocalExtrema_n25_meanext,"distribution,stationarity",ST_LocalExtrema_n25.meanext,868,-0.0322792428055586,1
4115,SC_FluctAnal_2_dfa_50_1_logi_r1_resac1,"scaling",SC_FluctAnal_2_dfa_50_1_logi.r1_resac1,900,-0.0322792428055586,1
2498,FC_Surprise_T1_10_1_m2quad_500_std,"information,symbolic",FC_Surprise_T1_10_1_m2quad_500.std,805,-0.0320604004814531,1
5760,PP_Compare_sin1_kscn_relent,"preprocessing,raw",PP_Compare_sin1.kscn_relent,960,-0.0320604004814531,1
5165,NL_TSTL_dimensions_50_ac_fnnmar_co_lfitmeansqdev1,"nonlinear,tstool,scaling,dimension",NL_TSTL_dimensions_50_ac_fnnmar.co_lfitmeansqdev1,929,0.0320604004814531,1
2965,EN_Randomize_permute_d1hp,"entropy,slow",EN_Randomize_permute.d1hp,832,0.0319869047877459,1
6675,NL_MS_nlpe_3_ac_normp,"nonlinear,prediction,model",NL_MS_nlpe_3_ac.normp,1002,-0.0318415581573476,1
1758,DN_RemovePoints_min_05_ac3rat,"correlation,outliers",DN_RemovePoints_min_05.ac3rat,758,0.0318415581573476,1
7529,MF_hmm_08_2_stdmeanP,"hmm,model",MF_hmm_08_2.stdmeanP,1046,0.0318415581573476,1
4685,NL_crptool_fnn_10_2_1_pdrop,"nonlinear,dimension,crptool",NL_crptool_fnn_10_2_1.pdrop,913,-0.0316296384944094,1
931,DN_FitKernelSmoothzscore_entropy,"distribution,ksdensity,entropy",DN_FitKernelSmoothzscore.entropy,571,-0.0316227158332422,1
1657,PH_ForcePotential_sine_1_1_1_proppos,"dynamicalSystem",PH_ForcePotential_sine_1_1_1.proppos,750,-0.0316227158332422,1
6050,PP_Compare_rav2_statav10,"preprocessing,raw,stationarity",PP_Compare_rav2.statav10,970,-0.0316227158332422,1
